articleNo,articleName,tradeTypeName,dealOrWarrantPrc,floorInfo,area1,area2,direction,articleConfirmYmd,articleFeatureDesc
2515013277,헬리오시티,매매,"14억 5,000",중/25,61,39,남서향,20250321,18p 신혼부부추천 올확장 가락탑024254200 커뮤니티이용편리
2514525152,헬리오시티,매매,"14억 9,000",중/25,61,39,남서향,20250319,18p 올확장 신혼부부추천 커뮤니티이용편리
2517535035,헬리오시티,매매,15억,12/22,61,39,남향,20250403,"입주,18,초역세권,풀에어컨,집상태 아주좋음,입주는 5월30일"
2517842673,헬리오시티,매매,15억,고/22,61,39,남향,20250404,"18학사 402 3322  강추, 역세권  에어컨풀  입주매매"
2517973549,헬리오시티,매매,15억,12/22,61,39,남향,20250405,18 초역세권 상가접근편리 풀에어컨 빠른입주
2517633664,헬리오시티,매매,15억,12/22,61,39,남향,20250404,"추천 매물 ,역세권, 풀 에어컨, 입주일 협의 가능"
2516710678,헬리오시티,매매,15억,12/22,61,39,남향,20250329,선호도 높은 5단지 남향. 지하철 상가 가까운동. 입주일 편하게
2516673146,헬리오시티,매매,15억,12/22,61,39,남서향,20250329,18 남향 입주추천 역세권 풀에어컨
2517194816,헬리오시티,매매,15억,12/22,61,39,남향,20250401,"햇살좋은남향,에어컨풀,잔금일협의"
2517137615,헬리오시티,매매,15억,12/22,61,39,남향,20250401,"신혼부부 강력추천, 천장형에어컨 완비, 초역세권 로얄동 로얄층"
2516816551,헬리오시티,매매,15억,12/22,61,39,남서향,20250331,18 로얄동 로얄층 초초역세권 풀에어컨
2517306004,헬리오시티,매매,15억,중/22,61,39,남서향,20250402,18p   역세권  로얄동 남향   파크밴드뷰가 이쁜집
2517882988,헬리오시티,매매,15억,중/22,61,39,남향,20250405,18 햇살좋은남향 송파역역세권 로얄로얄 입주 02 401 0019
2516632980,헬리오시티,매매,15억,12/22,61,39,남향,20250329,초역세권 귀한남향 특A개방감  최고로얄동 로얄층 1순위매물
2516606578,헬리오시티,매매,15억,12/22,61,39,남향,20250329,"송파역 초 역세권 남향 ,주인 직접"
2516605109,헬리오시티,매매,15억,12/22,61,39,남향,20250329,초역세권 급매물 계약임박 귀한 남향 채광좋고 밝은집
2516604369,헬리오시티,매매,15억,12/22,61,39,남향,20250329,특매물 초역세권 눈부신햇살 남향 로얄층 풀에어컨 계약1순위
2515680039,헬리오시티,매매,15억,12/22,61,39,남향,20250325,18 햇살따사로운남향 송파역역세권 시스템에어컨 입주
2516353254,헬리오시티,매매,15억,12/22,61,39,남동향,20250327,18   로얄동  역세권  남향  파크밴드뷰  입주가능
2515910418,헬리오시티,매매,15억,12/22,61,39,남향,20250326,"18 입주,초역세권,남향,풀에어컨,관리잘된집"
2515784974,헬리오시티,매매,15억,12/22,61,39,남향,20250325,"18,초역세권,해잘드는남향,빠른입주가"
2514909518,헬리오시티,매매,15억,12/22,61,39,남서향,20250320,
2516654771,헬리오시티,매매,15억,중/22,61,39,남서향,20250329,"송파역 초역세권, 풀에어컨, 집 상태 굿, 입주 협의"
2514841784,헬리오시티,매매,15억,12/22,61,39,남향,20250320,"강력추천 초역세권 로얄동 로얄층 남향, 천장형에어컨 완비"
2516048327,헬리오시티,매매,15억,중/22,61,39,남향,20250326,"18p,신혼부부 선호, 귀하고 역세권 매물,입주"
2513871302,헬리오시티,매매,15억,중/22,61,39,남향,20250315,"18 초역세권. 로얄동,층. 풀에어컨. 상가이용편리"
2517312415,헬리오시티,매매,"15억 5,000",중/21,61,39,남서향,20250402,"18.큰방 인기구조,신혼부부인기 ,인테리어 깔끔, 탁트인뷰."
2516741241,헬리오시티,매매,"15억 5,000",중/21,61,39,남서향,20250329,18 입주가능 해누리초중 채광좋은 집 조용한 로얄동
2516589954,헬리오시티,매매,"18억 5,000",중/29,72,49,남향,20250328,입주협의 로얄타입 내부 부분수리되어 컨디션 아주좋은 매물
2513478550,헬리오시티,매매,"18억 5,000",중/29,72,49,남향,20250313,21 초역세권 남향 입주협의 02 430 4500
2516751378,헬리오시티,매매,19억,10/22,61,39,남향,20250331,최고로얄 508동판상형귀한남향중층 급행9호8호3호위신선 쿼드러플역세권
2517973751,헬리오시티,매매,19억,고/20,72,49,남향,20250405,21   초역세권 로얄동 로얄층  에어컨풀 선호구조
2517887035,헬리오시티,매매,19억,고/20,72,49,남서향,20250405,"21 입주,송파역세권,풀에어컨,컨디션굿,생뢀권편리"
2517879268,헬리오시티,매매,19억,고/29,72,49,남향,20250405,21p  초역세권  메인상가 앞동  넓게 트인  집안가득 채광좋은 남향
2517878583,헬리오시티,매매,19억,고/20,72,49,남서향,20250405,18p  역세권  침실방넓은 인기타입   동간거리 넓게넓게 트인뷰
2517815868,헬리오시티,매매,19억,고/20,72,49,남서향,20250404,21B 1순위특급매 역세권 입지최고 작은방까지넓은 인기타입
2516963943,헬리오시티,매매,19억,중/32,72,49,남향,20250331,"21,해잘드는남향,에어컨풀,가락초"
2516961767,헬리오시티,매매,19억,고/20,72,49,남서향,20250331,21B 역세권 작은방까지 넓은 인기타입 사생활보호최고 1순위계약
2517982608,헬리오시티,매매,"19억 5,000",고/20,72,49,남서향,20250405,"입주,탁트인전망,컨디션최상.역세권"
