articleNo,articleName,tradeTypeName,dealOrWarrantPrc,floorInfo,area1,area2,direction,articleConfirmYmd,articleFeatureDesc
2509234355,헬리오시티,매매,"12억 7,000",저/22,61,39,남서향,20250220,급매 세안고 갭투자 내부 깔끔한 풀 에어콘
2507423380,헬리오시티,매매,"12억 7,000",저/22,61,39,남서향,20250211,18.역세권 로얄동 신혼부부강추
2509103292,헬리오시티,매매,13억,고/25,61,39,남서향,20250220,"18p,신혼부부 선호, 귀하고 저렴한 매물"
2508216917,헬리오시티,매매,"13억 2,000",중/25,61,39,남서향,20250215,"18    1인가구, 신혼거주  방2   세안고 갭투가능"
2510156462,헬리오시티,매매,"13억 5,000",저/26,61,39,남서향,20250225,18 편안한 공원뷰 동간거리넓은동 시스템에어컨 갭투가
2509376366,헬리오시티,매매,"13억 5,000",저/21,61,39,남향,20250221,18    아담하게 이쁜집  방2  입주.갭투가능
2507219831,헬리오시티,매매,"13억 5,000",고/26,61,39,남향,20250211,18  갭투가능 에어컨풀 커뮤니티 이용편리
2507947446,헬리오시티,매매,"13억 5,000",중/26,61,39,남서향,20250214,풀에어컨 이런금액없어요 1번으로계약될집 컨디션굿
2506637584,헬리오시티,매매,"13억 5,000",중/26,61,39,남서향,20250207,"갭투좋은집,트인전망굿,에어컨유"
2506637163,헬리오시티,매매,"13억 5,000",고/26,61,39,남향,20250207,"입주가능,갭투하기좋은집"
2505518955,헬리오시티,매매,"13억 5,000",15/32,61,39,남서향,20250203,"강력추천매물, 가격최고, 채광최고, 옵션최고"
2506804815,헬리오시티,매매,"13억 5,000",중/26,61,39,남서향,20250208,"갭투자, 가격최고, 채광최고, 상태최고"
2507593625,헬리오시티,매매,"13억 6,000",중/25,61,39,남향,20250212,18p  신혼추천  커뮤니트이용편리 에어컨풀  트인조망
2505879617,헬리오시티,매매,"13억 6,000",고/26,61,39,남서향,20250205,"하루종일 햇살가득한 집, 풀에어컨, 입주가능"
2508899166,헬리오시티,매매,"13억 7,000",고/22,61,39,남서향,20250219,"18, 역세권, 툭 트인 뷰, 풀에어컨, 로얄"
2508219195,헬리오시티,매매,"13억 7,000",고/26,61,39,남향,20250215,18   방2  신혼추천  시원하게트인뷰  남향  입주가능
2506864008,헬리오시티,매매,"13억 7,000",고/20,61,39,남서향,20250210,"18, 역세권, 툭 트인 뷰, 최고의 입지, 로얄"
2505187899,헬리오시티,매매,"13억 7,000",고/25,61,39,남동향,20250203,18 탄천뷰 신혼부부추천 올확장 입주협의
2506157476,헬리오시티,매매,"13억 7,000",고/25,61,39,남서향,20250206,"18 귀한입주가능매물,탁트인조망,풀에어컨,커뮤니티인접"
2505293251,헬리오시티,매매,"13억 7,000",고/21,61,39,남서향,20250204,"18. 툭 트인뷰, 최고의 주거 입지, 일조통풍 베리굿, 풀에어컨, 로얄"
2510246999,헬리오시티,매매,"13억 8,000",고/26,61,39,남향,20250225,"18 학사 402 3322  추천 추천 , 시스템에어컨풀  세안고갭투가"
2510222744,헬리오시티,매매,"13억 8,000",고/25,61,39,남향,20250225,18 학사 402 3322 햇살좋은남향   오래거주가 입주협의
2510040981,헬리오시티,매매,"13억 8,000",저/26,61,39,남향,20250224,18 탁트인뷰 남향 편리한커뮤니티 신혼부부강추 입주갭투가
2508442367,헬리오시티,매매,"13억 8,000",고/26,61,39,남향,20250217,18.갭투입주협의e송파4036969수영장스포츠센터편리e위례신사선e풀에어콘
2508823310,헬리오시티,매매,"13억 8,000",고/26,61,39,남서향,20250218,18   시원하게트인뷰   신혼강추  에어컨풀  입주협의
2508980050,헬리오시티,매매,"13억 8,000",중/21,61,39,남서향,20250219,"18, 신혼부부추천, 귀한소형, 단지정원조망"
2506212044,헬리오시티,매매,"13억 8,000",고/25,61,39,남서향,20250206,입주가능한 매물 로얄층으로 투자도 추천
2505860704,헬리오시티,매매,"13억 8,000",고/25,61,39,남동향,20250205,18p 앞트인 남향 가락탑4254200 신혼부부추천 커뮤니티이용 편리
2507315145,헬리오시티,매매,"13억 9,000",고/22,61,39,남향,20250211,"18학사 402 3322  강추, 역세권  에어컨 풀  세안고갭투가능"
2509381916,헬리오시티,매매,"13억 9,000",중/25,61,39,남서향,20250221,"18 입주가능,멋진단지조경뷰,커뮤니티인접"
2505220761,헬리오시티,매매,"13억 9,000",중/26,61,39,남서향,20250201,
2509095376,헬리오시티,매매,14억,3/21,62,39,남서향,20250219,"18 거실과 주방 분리 귀한 C타입, 커뮤니티 이용편리, 예쁜 정원뷰"
2510071774,헬리오시티,매매,14억,중/26,61,39,남서향,20250224,"18 주인직접,입주가능,탁트인뷰,풀에어컨,커뮤니티인접"
2509920020,헬리오시티,매매,14억,중/26,61,39,남서향,20250224,18. 입주.채광 좋음. 풀시스템에어컨
2509812525,헬리오시티,매매,14억,고/26,61,39,남향,20250224,"18.갭투추천,입주협의e탁트인전망e커뮤니티인접e풀옵션"
2509411716,헬리오시티,매매,14억,중/26,61,39,남서향,20250221,"18,  추천매물, 전망굿, 커뮤니티 인접동"
2509350922,헬리오시티,매매,14억,중/26,61,39,남서향,20250221,"추천매물, 풀에어컨, 입주 협의가능"
2509838974,헬리오시티,매매,14억,중/26,61,39,남서향,20250224,18 직매물. 입주또는갭투가능. 풀에어컨. 신혼강추
2508440500,헬리오시티,매매,14억,저/21,62,39,남서향,20250217,33.갭투입주협의e송파4036969 판상형4베이e수영장스포츠센터e풀에어콘
2510088034,헬리오시티,매매,14억,중/21,61,39,남서향,20250225,입주가능 계약가능 갭투가능 시스템에어컨 투자거주모두만족
2509059137,헬리오시티,매매,14억,저/22,61,39,남서향,20250219,작은방넓은 귀한 B타입 역세권 투자강추
2509427750,헬리오시티,매매,14억,중/21,61,39,남서향,20250221,
2508491823,헬리오시티,매매,14억,중/25,61,39,남서향,20250217,18p 입주 올확장 신혼부부추천 커뮤니티이용편리
2507975141,헬리오시티,매매,14억,중/21,61,39,남서향,20250214,
2508363486,헬리오시티,매매,14억,고/25,61,39,남향,20250217,"18. 툭 트인 뷰, 풀에어컨, 로얄. 남향"
2508030361,헬리오시티,매매,14억,중/22,61,39,남서향,20250214,18B 역세권 작은방까지 넓게나온 선호타입 투자금적은 갭투
2508024443,헬리오시티,매매,14억,중/26,61,39,남서향,20250214,18B 입주가능한 특매물 풀에어컨 너무예쁜 공원같은거실뷰 컨디션굿
2507026931,헬리오시티,매매,14억,중/21,61,39,남서향,20250210,18p매매o작은방이넓은구조o올확장o입주협의
2506211221,헬리오시티,매매,14억,중/22,61,39,남서향,20250206,역세권 인기많은 B타입 방넓어요 갭투자 강추
2506144574,헬리오시티,매매,14억,중/21,62,39,남서향,20250206,
2509161950,헬리오시티,매매,"14억 2,000",중/26,61,39,남서향,20250220,18 어린자녀. 신혼세대. 1인거주추천. 로얄동 로얄층. 입주협의.
2507218924,헬리오시티,매매,"14억 2,000",고/22,61,39,남향,20250211,18  송파초역세권 로얄동 로얄층 에어컨풀 입주협의
2510117322,헬리오시티,매매,"14억 3,000",중/26,61,39,남서향,20250225,18p 신혼부부추천 작은방이 넓은구조 올확장 입주협의
2509702350,헬리오시티,매매,"14억 3,000",중/25,61,39,남서향,20250222,"입주협의,귀한B타입매물"
2509685909,헬리오시티,매매,"14억 3,000",저/26,61,39,남서향,20250222,18p 입주 갭투자 강추 침실방 넓은 인기구조  통창을 시원한전망
2509779425,헬리오시티,매매,"14억 3,000",저/26,61,39,서향,20250224,입주가능
2508963179,헬리오시티,매매,"14억 4,000",중/22,61,39,남서향,20250219,
2510096897,헬리오시티,매매,"14억 5,000",21/25,61,39,남향,20250225,18P 입주가능 관리잘된집 남향
2509768509,헬리오시티,매매,"14억 5,000",21/25,61,39,남서향,20250224,18 주인거주 빠른입주 강남조망권 생활편리 지하커뮤니티이용편리 급매물
2509013831,헬리오시티,매매,"14억 5,000",6/22,61,39,남서향,20250219,역세권 방이커서 모두가 선호하는 타입.갭투추천
2508968793,헬리오시티,매매,"14억 5,000",6/22,61,39,남서향,20250219,신혼부부 추천. 입주일 협의가능. 시원한 전망
2510124128,헬리오시티,매매,"14억 5,000",저/29,61,39,남서향,20250225,입주 초역세권 올확장 신혼부부추천
2509810365,헬리오시티,매매,"14억 5,000",저/21,62,39,남향,20250224,"18.갭투,입주협의e송파4036969수영장스포츠센터편리e풀에어콘"
2509129199,헬리오시티,매매,"14억 5,000",6/22,61,39,남서향,20250220,18 역세권. 갭추천. 선호도높은타입. 편리한생활권. 가락초배정
2508599780,헬리오시티,매매,"14억 5,000",저/29,61,39,남동향,20250217,입주가능 송파초역세권
2509624981,헬리오시티,매매,"14억 5,000",중/21,62,39,남서향,20250222,넓은구조.사생활보호계단식구조.생활편리
2509594172,헬리오시티,매매,"14억 5,000",저/29,61,39,남서향,20250222,18P 초역세권 신혼부부추천 올확장 시스텡에어컨 
2510154699,헬리오시티,매매,"14억 5,000",중/26,61,39,남서향,20250225,18 개방감최고 작은방이큰선호타입. 02 401 0019
2509504108,헬리오시티,매매,"14억 5,000",고/25,61,39,남향,20250221,33 학사 402 3322 추천추천 역세권    채광통풍최고  입주협의
2509486625,헬리오시티,매매,"14억 5,000",저/25,61,39,남서향,20250221,
2510013538,헬리오시티,매매,"14억 5,000",중/21,62,39,남서향,20250224,18p  계단식 선호타입  에어컨풀  갭투자
2506501004,헬리오시티,매매,"14억 5,000",6/22,61,39,남향,20250207,실매물 신혼부부 추천 역세권  초록초록 공원뷰 높은전세안고
